"","Date","Time","Type","sample_id","colony","temp","koa_color","leachate","1:F","alpha","ETRm","Ik","days_of_exposure","treatment"
"1","24-08-17",07:40:33,"REG2","H10.2C",10,"hot",22,"control","#1: alpha: 0.054, ETRm: 29.785, Ik: 552.327   (Jassby and Platt 1976)",0.054,29.785,552.327,4,"hot_control"
"2","24-08-17",07:44:57,"REG2","H3.2C",3,"hot",26,"control","#1: alpha: 0.084, ETRm: 38.864, Ik: 464.122   (Jassby and Platt 1976)",0.084,38.864,464.122,4,"hot_control"
"3","24-08-17",07:49:03,"REG2","H1.2C",1,"hot",22,"control","#1: alpha: 0.073, ETRm: 37.309, Ik: 512.574   (Jassby and Platt 1976)",0.073,37.309,512.574,4,"hot_control"
"4","24-08-17",07:52:46,"REG2","H8.2C",8,"hot",26,"control","#1: alpha: 0.075, ETRm: 41.858, Ik: 560.497   (Jassby and Platt 1976)",0.075,41.858,560.497,4,"hot_control"
"5","24-08-17",07:56:19,"REG2","H2.2C",2,"hot",26,"control","#1: alpha: 0.059, ETRm: 44.702, Ik: 759.585   (Jassby and Platt 1976)",0.059,44.702,759.585,4,"hot_control"
"6","24-08-17",08:03:49,"REG2","A2.2L",2,"ambient",22,"low","#1: alpha: 0.058, ETRm: 41.172, Ik: 713.330   (Jassby and Platt 1976)",0.058,41.172,713.33,4,"ambient_low"
"7","24-08-17",08:07:10,"REG2","A7.2L",7,"ambient",22,"low","#1: alpha: 0.054, ETRm: 78.036, Ik: 1445.229   (Jassby and Platt 1976)",0.054,78.036,1445.229,4,"ambient_low"
"8","24-08-17",08:10:27,"REG2","A8.2L",8,"ambient",22,"low","#1: alpha: 0.053, ETRm: 40.052, Ik: 758.052   (Jassby and Platt 1976)",0.053,40.052,758.052,4,"ambient_low"
"9","24-08-17",08:13:50,"REG2","A1.2L",1,"ambient",22,"low","#1: alpha: 0.075, ETRm: 64.760, Ik: 868.926   (Jassby and Platt 1976)",0.075,64.76,868.926,4,"ambient_low"
"10","24-08-17",08:17:00,"REG2","A5.2L",5,"ambient",22,"low","#1: alpha: 0.064, ETRm: 48.029, Ik: 745.756   (Jassby and Platt 1976)",0.064,48.029,745.756,4,"ambient_low"
"11","24-08-17",08:24:15,"REG2","H4.2H",4,"hot",22,"high","#1: alpha: 0.097, ETRm: 49.473, Ik: 507.532   (Jassby and Platt 1976)",0.097,49.473,507.532,4,"hot_high"
"12","24-08-17",08:27:26,"REG2","H10.2H",10,"hot",22,"high","#1: alpha: 0.083, ETRm: 34.671, Ik: 419.432   (Jassby and Platt 1976)",0.083,34.671,419.432,4,"hot_high"
"13","24-08-17",08:30:48,"REG2","H1.2H",1,"hot",22,"high","#1: alpha: 0.081, ETRm: 43.591, Ik: 540.205   (Jassby and Platt 1976)",0.081,43.591,540.205,4,"hot_high"
"14","24-08-17",08:33:54,"REG2","H7.2H",7,"hot",22,"high","#1: alpha: 0.090, ETRm: 46.850, Ik: 520.971   (Jassby and Platt 1976)",0.09,46.85,520.971,4,"hot_high"
"15","24-08-17",08:37:59,"REG2","H8.2H",8,"hot",22,"high","#1: alpha: 0.099, ETRm: 56.227, Ik: 566.534   (Jassby and Platt 1976)",0.099,56.227,566.534,4,"hot_high"
"16","24-08-17",08:44:48,"REG2","A1.2C",1,"ambient",22,"control","#1: alpha: 0.099, ETRm: 34.124, Ik: 344.753   (Jassby and Platt 1976)",0.099,34.124,344.753,4,"ambient_control"
"17","24-08-17",08:48:06,"REG2","A7.2C",7,"ambient",22,"control","#1: alpha: 0.075, ETRm: 54.518, Ik: 725.510   (Jassby and Platt 1976)",0.075,54.518,725.51,4,"ambient_control"
"18","24-08-17",08:51:11,"REG2","A10.2C",10,"ambient",22,"control","#1: alpha: 0.089, ETRm: 38.421, Ik: 431.391   (Jassby and Platt 1976)",0.089,38.421,431.391,4,"ambient_control"
"19","24-08-17",08:54:23,"REG2","A9.2C",9,"ambient",22,"control","#1: alpha: 0.080, ETRm: 53.011, Ik: 660.049   (Jassby and Platt 1976)",0.08,53.011,660.049,4,"ambient_control"
"20","24-08-17",08:58:22,"REG2","A2.2C",2,"ambient",22,"control","#1: alpha: 0.090, ETRm: 52.867, Ik: 588.997   (Jassby and Platt 1976)",0.09,52.867,588.997,4,"ambient_control"
"21","24-08-17",09:04:48,"REG2","H1.2L",1,"hot",22,"low","#1: alpha: 0.106, ETRm: 64.659, Ik: 609.963   (Jassby and Platt 1976)",0.106,64.659,609.963,4,"hot_low"
"22","24-08-17",09:07:39,"REG2","H4.2L",4,"hot",22,"low","#1: alpha: 0.079, ETRm: 62.656, Ik: 792.750   (Jassby and Platt 1976)",0.079,62.656,792.75,4,"hot_low"
"23","24-08-17",09:10:49,"REG2","H6.2L",6,"hot",22,"low","#1: alpha: 0.100, ETRm: 52.731, Ik: 528.703   (Jassby and Platt 1976)",0.1,52.731,528.703,4,"hot_low"
"24","24-08-17",09:13:57,"REG2","H10.2L",10,"hot",22,"low","#1: alpha: 0.080, ETRm: 45.350, Ik: 567.852   (Jassby and Platt 1976)",0.08,45.35,567.852,4,"hot_low"
"25","24-08-17",09:17:15,"REG2","H7.2L",7,"hot",22,"low","#1: alpha: 0.087, ETRm: 94.077, Ik: 1080.295   (Jassby and Platt 1976)",0.087,94.077,1080.295,4,"hot_low"
"26","24-08-17",09:22:46,"REG2","A3.2H",3,"ambient",26,"high","#1: alpha: 0.080, ETRm: 52.628, Ik: 661.015   (Jassby and Platt 1976)",0.08,52.628,661.015,4,"ambient_high"
"27","24-08-17",09:25:43,"REG2","A9.2H",9,"ambient",26,"high","#1: alpha: 0.074, ETRm: 55.467, Ik: 751.480   (Jassby and Platt 1976)",0.074,55.467,751.48,4,"ambient_high"
"28","24-08-17",09:28:59,"REG2","A7.2H",7,"ambient",22,"high","#1: alpha: 0.093, ETRm: 66.330, Ik: 709.719   (Jassby and Platt 1976)",0.093,66.33,709.719,4,"ambient_high"
"29","24-08-17",09:32:09,"REG2","A10.2H",10,"ambient",22,"high","#1: alpha: 0.077, ETRm: 51.991, Ik: 677.821   (Jassby and Platt 1976)",0.077,51.991,677.821,4,"ambient_high"
"30","24-08-17",09:37:17,"REG2","A6.2H",6,"ambient",22,"high","#1: alpha: 0.066, ETRm: 56.548, Ik: 853.956   (Jassby and Platt 1976)",0.066,56.548,853.956,4,"ambient_high"
"31","24-08-17",09:50:12,"REG2","H9.2C",9,"hot",22,"control","#1: alpha: 0.055, ETRm: 34.212, Ik: 626.965   (Jassby and Platt 1976)",0.055,34.212,626.965,4,"hot_control"
"32","24-08-17",09:53:21,"REG2","H4.2C",4,"hot",22,"control","#1: alpha: 0.039, ETRm: 29.757, Ik: 771.090   (Jassby and Platt 1976)",0.039,29.757,771.09,4,"hot_control"
"33","24-08-17",09:56:15,"REG2","H7.2C",7,"hot",22,"control","#1: alpha: 0.044, ETRm: 47.924, Ik: 1077.948   (Jassby and Platt 1976)",0.044,47.924,1077.948,4,"hot_control"
"34","24-08-17",09:59:29,"REG2","H6.2C",6,"hot",26,"control","#1: alpha: 0.044, ETRm: 54.838, Ik: 1254.699   (Jassby and Platt 1976)",0.044,54.838,1254.699,4,"hot_control"
"35","24-08-17",10:05:43,"REG2","H5.2C",5,"hot",22,"control","#1: alpha: 0.071, ETRm: 50.181, Ik: 707.381   (Jassby and Platt 1976)",0.071,50.181,707.381,4,"hot_control"
